Nombre,Familia,Precio [USD/kg],Densidad [kg/m^3],Modulo de Young [GPa],Esfuerzo de Fluencia [MPa],Esfuerzo Último [MPa],Elongación [%],Dureza [Vickers],Tenacidad a la fractura [MPa m^1/2],Temperatura de fusión [K],Fuente,Persona
"Lámina plana de viniléster reforzado con vidrio Bedford Plastics. 1/8 """,Compuestos,0.18,1938.00,241.00,33.76,51.70,15.20,71.00,3.40,293,Matweb. Precio ,Jonathan Acevedo
Bone,Compuestos,5.19,1950.00,19.50,140.00,140.00,0.75,30.00,5.05,393,Ces Edupack 2019,ivan gongora 
E20 Beryllium,Compuestos,8.00,2050.00,289.00,158.00,207.00,4.00,500.00,25.00,,Matmatch beryllium costo,2020-2
AlBeMet® AM162,Compuestos,18.00,2070.00,197.00,193.00,262.00,2.00,123.00,32.00,1355.15,Matweb. Matmatch,2020-2
AlBeCast 920® Composite (aluminum-beryllium metal matrix),Compuestos,25.00,2170.00,193.00,213.70,289.60,3.00,154.00,23.00,,Materion. Matmatch. Costo,2020-2
A - Glass Fiber (Fibra de Vidrio Generica),Compuestos,2.35,2441.37,68.90,,3310.00,4.80,800.00,20.00,1000.15,Matweb Costo,2020-2
MMC: Mg-B(f),Compuestos,135.00,2450.00,286.00,880.00,1055.00,0.45,145.00,5.50,921,Ces Edupack 2019,ivan gongora 
S - Fibra de Vidrio,Compuestos,1.15,2460.00,86.90,,300.00,5.70,760.00,0.75,1711.5,Matweb.  Azom. Precio ,Daisy Gutiérrez
Tyranno Fiber ,Compuestos,30.00,2480.00,390.00,300.00,550.00,1.70,15.20,3.80,1723.15,Matweb .  lookpolymers .  sciencedirect,Diego Rojas
C- fibra de vidrio (generica),Compuestos,755.00,2540.00,68.90,,3310.00,4.80,600.00,8.90,,Matweb. Precio ,Nikolai Fandiño
R-glass fiber,Compuestos,0.80,2540.00,85.50,,789.00,4.80,600.00,10.00,1773.00,Matweb agy glass costo,2020-2
E - Glass Fiber ,Compuestos,3.25,2561.51,72.00,,521.00,4.80,700.00,0.50,1998.15,Matweb. Azo. Costo,2020-2
Mafic Direct Basalt Roving 19 µm Diameter,Compuestos,2.16,2630.00,87.00,,650.00,3.50,867.00,18.00,1523.00,Matweb basaltex costo,2020-2
SuoremEX (High Quality aerospace aluminium reinforced 25% silicon carbide),Compuestos,75.00,2800.00,115.00,400.00,570.00,3.00,460.00,16.00,821.15,Matmatch. Materion,2020-2
Carburo de silicio ceramico,Compuestos,26.50,2900.00,320.00,,400.00,,2005.00,4.60,2720.00,Ceramic. Matmatch. Costos,NIxon David Moreno
Electroconductive Alumina Composite (KA-EDM),Compuestos,0.88,4200.00,390.00,,1200.00,,2294.00,8.00,,Matmatch costo,2020-2
CTF28T,Compuestos,90.00,6400.00,523.00,,2000.00,,1600.00,8.50,,Matmatch,Daisy Gutiérrez
Ferro-Titanit C-Spezial,Compuestos,20.00,6500.00,292.00,,1500.00,,975.00,5.60,,Matmatch. Propiedades. Precio,Daisy Gutiérrez
Ferro- titanit Nikro 128,Compuestos,580.00,6600.00,294.00,,1400.00,,62.00,25.00,,Costo Matmatch,2020-2
Acero al Niquel SEW 385,Compuestos,34.44,8200.00,152.00,440.00,640.00,30.00,300.00,176.00,1728.65,Matmatch. Costos,NIxon David Moreno
S4X7(Carburo Cementado),Compuestos,40.00,13050.00,525.00,,2300.00,,1490.00,11.60,,https://www.matmatch.com/,2020-2
S40T,Compuestos,87.00,13250.00,530.00,,2400.00,,1440.00,13.50,,https://www.matmatch.com/,2020-2
CTS24Z,Compuestos,89.00,14100.00,549.00,,4000.00,,1590.00,11.30,,Matmatch,Daisy Gutiérrez
TSF44,Compuestos,20.00,14100.00,549.00,,4600.00,,1745.00,9.80,,Matmatch costo,2020-2
CTF25E,Compuestos,20.00,14150.00,543.00,,3500.00,,1310.00,15.00,,https://www.matmatch.com/,2020-2
CTE25A (Hot roll in cemented carbide and ceramic),Compuestos,40.00,14300.00,555.00,,2700.00,12.50,1050.00,20.00,,Ceratizit. Matmatch. Costo1. Costo2,2020-2
TMG30,Compuestos,70.00,14400.00,574.00,,3600.00,,1580.00,9.30,,Matmatch costo,2020-2
MG18,Compuestos,35.00,14450.00,580.00,,3700.00,,1680.00,9.40,,https://www.matmatch.com/,2020-2
CTS20L (cemented carbide),Compuestos,1.00,14450.00,580.00,,344.00,,1680.00,9.40,3000.00,Matmatch costo azo,2020-2
CTS18D,Compuestos,67.00,14550.00,586.00,,3000.00,,1610.00,3.50,,Matmatch,Laura Moreno
CTS15D,Compuestos,32.00,14750.00,610.00,,3800.00,7.50,1740.00,9.50,,https://www.matmatch.com/,2020-2
 CTS12D (carbon-fibre and glass-fibre reinforced),Compuestos,214.31,14800.00,624.00,,3700.00,6.00,1800.00,8.80,,Ceratizit (Pag 19). Matmatch,2020-2
CTM16N(Carburo Cementado),Compuestos,14.00,14850.00,605.00,,2400.00,,1300.00,18.80,,https://www.matmatch.com/,2020-2
CTF12E,Compuestos,25.00,14950.00,624.00,,2000.00,,1620.00,9.90,,https://www.matmatch.com/,2020-2
CTU05E,Compuestos,28.00,15250.00,670.00,,2750.00,,2300.00,5.70,,https://www.matmatch.com/,2020-2
CTS06M,Compuestos,22.00,15300.00,665.00,,2600.00,,1950.00,8.50,,https://www.matmatch.com/,2020-2
HPM 1700 Tungsten High Density Composite,Compuestos,45.00,17000.00,320.00,520.00,850.00,12.00,320.00,15.00,,Matweb. H.C. Starck,2020-2
Densimet 176 Tungsten Heavy Alloy,Compuestos,80.00,17150.00,360.00,,800.00,10.00,300.00,17.50,3400.00,https://www.matmatch.com/,2020-2
Terbio Tb,Metales,919.00,827.00,50.00,60.00,140.00,12.00,38.00,67.00,1360,Matweb. Precio ,Nikolai Fandiño
Plomo,Metales,2.12,1135.00,37.50,598.00,18.00,45.00,5.00,10.00,598,Matweb.  Azom.  Precio ,Daisy Gutiérrez
"	Tungsten Carbide",Metales,38.29,1480.00,420.00,167.00,64.00,71.00,287.00,27.00,3058.15,scielo Matweb. Quiminet,2020-2
Magnesio. AM20. fundido,Metales,2.83,1805.00,42.50,105.00,185.00,9.75,47.50,17.00,811,Ces Edupack 2019,ivan gongora 
Magnesium AZ91D-F Alloy,Metales,2.75,1810.00,44.80,150.00,230.00,3.00,71.00,5.00,923.15,Matweb. Alibaba,2020-2
Magnesium WE43-T6,Metales,95.00,1840.00,44.20,162.00,250.00,2.00,96.00,7.00,592.50,Matweb. Alibaba,2020-2
"	Tungsteno",Metales,21.00,1930.00,400.00,156.00,47.00,53.00,310.00,30.00,3610.15,scielo Matweb. Quiminet,2020-2
Aleación de berilio-aluminio. AlBeMet 162,Metales,411.00,2095.00,189.50,258.50,354.50,6.15,120.00,24.00,918,Ces Edupack 2019,ivan gongora 
Silicio ,Metales,637.00,2330.00,112.40,,4000.00,5.00,900.00,12.00,1830,Matweb. Precio ,Nikolai Fandiño
Boro. B,Metales,850.00,2599.00,440.00,127.00,244.00,11.00,260.00,3.20,2573,Matweb. propiedades. Precio ,Jonathan Acevedo
DIN 3.2384 T6,Metales,0.60,2680.00,71.50,220.00,280.00,2.50,95.00,22.00,883.15,Mathmatch. Costos,Argoty Avance 4
Aluminio 6061,Metales,10.00,2700.00,25.00,68.90,75.80,20.00,92.00,146.00,873.15,scielo Matweb. Quiminet,2020-2
Aluminio serie 1000,Metales,3.00,2700.00,68.50,68.90,111.00,13.70,150.00,17.00,925.15,MatWeb. Alibaba,2020-2
Aluminio 6005-T1,Metales,2.80,2700.00,69.00,105.00,170.00,16.00,46.00,76.00,903.75,Matweb. Alibaba ,Daisy Gutiérrez
Aluminio 1060 - H12,Metales,2.60,2705.00,68.90,62.00,85.00,9.00,23.00,55.00,924.8,Matweb. Alibaba. Makeitfrom ,Daisy Gutiérrez
ASTM AM50A manganeso de aluminio,Metales,24.50,2720.00,42.50,110.00,200.00,10.00,61.15,125.00,815.65,Mathmatch. Costos,Nixon David Moreno
Aluminio 6262 T9,Metales,2.80,2720.00,70.00,342.50,365.00,6.00,180.00,25.00,888.00,Propiedades. Precio,2020-2
Aluminio 3005 H12,Metales,2.60,2730.00,69.75,115.00,165.00,2.00,173.00,23.00,914.50,Propiedades. Precio,2020-2
Aluminio 2024-T851,Metales,3.63,2780.00,72.40,400.00,455.00,5.00,146.00,15.00,286.85,Matweb . Alibaba,2020-2
Aluminio 3003 H12,Metales,2.90,2800.00,69.00,110.00,130.00,11.00,170.00,22.00,913.00,Propiedades. Precio,2020-2
Aluminio 3105 H14,Metales,2.30,2800.00,69.00,150.00,170.00,3.30,167.00,27.00,913.00,Propiedades. Precio,2020-2
Aluminio 3103 H14,Metales,4.00,2800.00,72.00,92.00,130.00,9.80,168.00,18.00,913.00,Propiedades. Precio,2020-2
Aluminio 2014 - O,Metales,2.45,2800.00,73.10,96.50,186.00,12.00,45.00,66.00,845.65,Matweb. Alibaba ,Daisy Gutiérrez
Aluminio 7075-T651,Metales,4.80,2810.00,71.70,503.00,572.00,9.00,175.00,17.60,829.15,Matweb . Alibaba,2020-2
Aluminio 7178-T651,Metales,22.80,2830.00,71.70,538.00,607.00,5.00,189.00,21.00,826.35,Matweb . Alibaba,2020-2
Titanio 6A1-4V,Metales,22.50,4430.00,113.80,880.00,950.00,14.00,349.00,160.00,1905.15,Matweb . Alibaba,2020-2
Titanio 5Al-2.5Sn (Grade 6),Metales,21.50,4480.00,117.00,827.00,861.00,15.00,349.00,108.00,1863.15,Matweb. Alibaba,2020-2
Titanium Carbide. TiC,Metales,60.00,4940.00,451.00,193.00,254.00,43.00,95.00,160.00,3338.15,scielo Matweb. Quiminet,2020-2
Cerio. Ce,Metales,4.51,6699.00,41.40,67.00,100.00,8.60,24.00,100.00,1068,Matweb. Precio ,Jonathan Acevedo
Aleación de zinc-Cu-Ti. ILZRO 16. fundición a presión,Metales,3.53,7100.00,97.00,140.00,230.00,5.50,82.50,27.50,690,Ces Edupack 2019,ivan gongora 
Zinc,Metales,2.45,7130.00,100.00,150.00,200.00,30.00,40.00,23.70,690.00,Azom,2020-2
