Nombre,Familia,Precio [USD/kg],Densidad [kg/m^3],Modulo de Young [GPa],Esfuerzo de Fluencia [MPa],Esfuerzo Último [MPa],Elongación [%],Dureza [Vickers],Tenacidad a la fractura [MPa m^1/2],Temperatura de fusión [K],Fuente,Persona
Tantalio UNS R05200,Metales,1199.00,16600.00,182.00,172.50,240.50,50.00,70.00,10.00,3163.15,MatWeb. Aliexpress,2020-2
Oro sin trabajo en frio,Metales,234.70,19300.00,78.00,130.00,220.00,45.00,25.00,47.00,1337.15,Azom MatWeb. Costos,Nixon David Moreno
Platino Pt,Metales,755.00,21500.00,168.00,100.00,165.00,35.00,40.00,40.00,2040,Matweb. Precio ,Nikolai Fandiño
Silicon RTV  Room Temperature Vulcanizing,Polimeros,6.80,1.10,0.05,30.00,165.00,145.00,457.00,0.70,478.15,Matweb .  Alibaba . Azom,Diego Rojas
Poliestireno (PS),Polimeros,0.80,30.00,3.20,30.00,50.00,2.50,75.00,0.40,543.15,Matweb. Costos. Propiedades,2020-2
Celulosa,Polimeros,0.50,130.00,1.60,40.00,50.00,1.30,63.00,1.57,340.15,Matweb. Costos. Propiedades,2020-2
ALM PA-840-GSL,Polimeros,30.00,420.00,2.30,33.00,48.00,4.00,200.00,0.47,473,Matweb,Pablo Galvis
Etileno-Propileno,Polimeros,10.00,860.00,6.00,30.00,17.00,600.00,494.00,0.80,333.15,DesignerData .Matweb .Article .Precio,Laura Moreno
Etileno propileno (dieno) (EPDM / EPM. no reforzado),Polimeros,2.04,870.00,0.00,2.00,2.00,600.00,1.50,1.14,221,Ces Edupack 2019,ivan gongora 
EPDM,Polimeros,1.49,880.00,0.01,12.00,17.00,150.00,90.00,5.22,450.00,MatWeb.DMH.Erica,2020-2
Polietileno de baja densidad (LDPE),Polimeros,1.28,921.00,0.23,10.60,24.20,32.00,48.10,0.34,381.00,Matweb. Propiedades. Costos,2020-2
Acetato de vinilo de etileno,Polimeros,180.00,925.00,0.20,7.00,35.00,200.00,7.30,1.00,473.15,Matweb specialchem. indiamart,Diego  Rojas
Prolipropileno (PP),Polimeros,3.00,930.00,1.70,29.80,31.60,143.00,68.60,2.65,433.00,Matweb. Costos. San Metal,2020-2
Polietileno alta densidad (HDPE),Polimeros,2.00,954.00,0.97,21.60,28.90,10.80,64.40,4.23,404.00,Matweb. Alibaba,2020-2
Adhesivo de Metacrilato,Polimeros,3.50,1000.00,0.98,0.03,40.00,42.50,458.00,1.20,302.55,MatWeb. Costos,NIxon David Moreno
Caucho acrílico de etileno (AEM. no reforzado),Polimeros,9.23,1045.00,0.00,2.25,2.25,300.00,1.50,111.00,243,Ces Edupack 2019,ivan gongora 
Poliamida 11,Polimeros,20.00,1045.00,1.85,15.00,47.00,280.00,296.00,0.93,533.15,DesignerData .Azom .Precio,Laura Moreno
Polimetilpenteno. PMP (10-30% de fibra de vidrio),Polimeros,10.00,1050.00,1.10,23.45,28.75,5.50,7.00,1.25,513,Ces Edupack 2019,ivan gongora 
Calsak CS-72 General Purpose ABS Resin,Polimeros,40.00,1050.00,2.55,42.10,72.40,30.00,109.00,0.77,379.15,Matweb. Costos,Argoty Avance 14
Eter de polifenileno,Polimeros,3.80,1060.00,2.10,40.00,80.00,70.00,261.50,1.10,563.15,Matmatch. MatWeb. Costos,NIxon David Moreno
NORYL™ Resin 731,Polimeros,49.00,1060.00,2.70,55.00,100.00,70.00,119.00,1.38,413.15,Mathmatch. Costos,Argoty Avance 11
Adhesivo de cianoacrilato,Polimeros,250.00,1070.00,1.26,18.00,23.10,93.50,494.00,3.39,438.15,MatWeb. Alibaba ,2020-2
ABS PC,Polimeros,1.67,1070.00,2.21,40.70,50.00,6.00,110.00,8.00,527.65,Filament.materialise.MatWeb,2020-2
ABS,Polimeros,1.40,1070.00,2.32,40.40,45.00,28.00,82.30,1.32,514.00,Matweb. Costos,2020-2
Estireno acrilonitrilo (SAN),Polimeros,0.87,1070.00,3.46,67.20,70.20,3.67,83.20,1.99,496.00,Matweb. Indiamart,2020-2
Nylon 11 . No reforzado,Polimeros,50.00,1100.00,0.15,44.00,122.00,400.00,76.00,0.31,465.15,Matweb .  designerdata . Alibaba,Diego Rojas
Epoxy,Polimeros,3.02,1100.00,2.42,72.40,96.50,70.35,121.00,2.12,448.00,MatWeb,2020-2
Alcohol Etileno vinilico,Polimeros,5.00,1120.00,2.16,66.80,57.30,238.00,2519.00,1.24,449,Matweb,Pablo Galvis
MPR (Shore A60). Caucho procesable por fusión.,Polimeros,11.80,1140.00,0.00,6.00,9.65,418.00,3.00,1.75,146,Ces Edupack 2019,ivan gongora 
Copolimero de acetal (no reforzado),Polimeros,356.00,1140.00,6.14,9.25,38.20,36.50,73.50,1.23,310,Matweb. Precio ,Nikolai Fandiño
Polietileno clorado (no reforzado). (CM / CPE),Polimeros,1.67,1155.00,0.00,12.50,12.50,700.00,4.00,0.18,256,Ces Edupack 2019,ivan gongora 
Acrílico Extruido ,Polimeros,21.50,1160.00,2.55,73.70,57.70,16.50,145.00,2.50,491.15,MatWeb.Onlinemetals,2020-2
PUR,Polimeros,5.00,1170.00,2.40,5.00,45.00,23.00,3.00,3.12,573.00,MatWeb.mexpolimero,2020-2
Copolímero DMX1435,Polimeros,10.00,1170.00,2.45,80.00,60.00,40.00,327.00,0.21,295,Matmatch. Precio,Laura Moreno
Polimetilmetacrilato (PMMA),Polimeros,3.00,1180.00,3.00,72.00,116.00,4.00,145.00,2.63,433.00,Matweb,2020-2
LNP™ COLORCOMP™ Compound D1000ER,Polimeros,70.00,1190.00,2.64,62.00,96.00,130.00,118.00,1.00,427.15,Mathmatch. Costos,Argoty Avance 12
Acrilico moldeado,Polimeros,2.80,1190.00,3.00,68.00,70.00,90.00,118.00,3.76,376.00,MatWeb,2020-2
LEXAN™ Resin 161R,Polimeros,78.00,1200.00,2.35,63.00,90.00,120.00,104.00,1.00,418.15,Mathmatch. Costos,Argoty Avance 15 
Nylon,Polimeros,4.00,1200.00,2.35,73.90,102.00,29.80,82.00,2.41,576.00,Matweb. Costos. Propiedades,2020-2
Policarbonato. Moldeado,Polimeros,2.00,1200.00,2.38,62.60,64.00,84.10,127.00,1.14,563.15,MatWeb. Alibaba,2020-2
Acetato de celulosa propionato,Polimeros,195.00,1210.00,1.85,22.00,41.00,50.00,220.00,1.30,523.15,Matweb. Matmatch . Precio,Laura Moreno
Poliuretano  termoestable,Polimeros,16.00,1240.00,0.01,25.00,25.00,375.00,2.00,0.32,330,Matweb . Designerdata .  Alibaba,Diego Rojas
Resina de policetona,Polimeros,3.10,1240.00,3.60,67.00,78.00,330.00,230.00,1.25,493.7,Matweb . Alibaba.  Prospector,Diego Rojas
Silicona,Polimeros,3.00,1250.00,0.08,4.61,7.15,55.00,53.60,1.67,426.00,Matweb. Costos,2020-2
SMA,Polimeros,20.00,1250.00,5.47,5.52,71.50,2.67,111.00,1.16,534,Matweb,Pablo Galvis
Nylon 610. reforzado con vidrio,Polimeros,14.90,1255.00,9.50,138.00,215.00,6.00,613.00,1.70,510.15,MatWeb. Costos,NIxon David Moreno
copoliéster PCTG,Polimeros,3.10,1259.00,2.13,42.00,53.00,9.50,48.00,2.30,522,Matweb. Precio ,Jonathan Acevedo
PETG Copoliéster,Polimeros,9.50,1260.00,2.65,48.20,42.00,124.00,333.00,1.33,514.15,MatWeb. Aliababa,2020-2
Caucho butílico,Polimeros,4.00,1270.00,0.00,8.00,10.00,400.00,235.00,0.88,403.15,Industria . Matweb  .Precio .Cheg,Laura Moreno
Polieterimida Resin 100P,Polimeros,31.00,1270.00,3.58,137.50,281.00,60.00,354.00,1.24,491.15,MatWeb. Costos,NIxon David Moreno
Policarbonato 10% de vidrio,Polimeros,3.00,1270.00,3.77,66.60,68.50,5.72,117.00,2.32,569.00,Matweb. Costos,2020-2
Polieteretercetona,Polimeros,78.00,1275.00,3.85,91.10,110.00,40.00,27.30,3.52,616.15,Propiedades. Precio ,Daisy Gutiérrez
PLA,Polimeros,25.00,1290.00,2.91,38.00,47.60,63.80,65.80,2.95,463.00,Matweb. Costos. Propiedades,2020-2
Polibenzimidazol (PBI),Polimeros,8.11,1300.00,5.85,110.00,160.00,3.00,33.58,0.12,150,Matmatch. Matweb. Propiedades. Precio,Daisy Gutiérrez
PBTP,Polimeros,3.00,1310.00,2.38,103.00,130.00,60.00,119.00,5.00,494.00,MatWeb.mexpolimero,2020-2
CA,Polimeros,3.13,1310.00,2.41,26.00,37.00,56.00,92.00,2.94,368.00,mexpolimero.ACBlog,2020-2
PETG Copoliéster,Polimeros,1.30,1329.00,20.30,58.60,68.90,4.20,57.00,1.70,553,Matweb.  Precio ,Jonathan Acevedo
Peek,Polimeros,120.00,1330.00,3.90,55.00,97.70,24.70,85.60,3.17,646.00,Matweb. Alibaba,2020-2
Poliimida,Polimeros,50.00,1340.00,6.31,88.80,95.20,8.99,85.60,1.06,646.00,Matweb. Alibaba,2020-2
Copolímero de acetal modificado al impacto,Polimeros,50.00,1350.00,1.70,44.40,39.90,77.70,156.00,1.61,461.15,MatWeb.Alibaba. Ensingerplastics,2020-2
Nylon 12,Polimeros,4.23,1350.00,4.65,42.40,79.30,72.90,129.00,1.04,506.15,MatWeb.   Mercado libre,2020-2
Resina de curado epoxi,Polimeros,25.00,1350.00,35.20,563.00,33.10,2.77,80.20,1.33,189,Matweb,Pablo Galvis
PVC,Polimeros,0.89,1370.00,0.04,13.60,15.40,307.00,49.60,0.74,478.00,Matweb. Costos,2020-2
Polieterimida (PEI),Polimeros,14.00,1370.00,7.52,115.00,127.00,20.20,162.00,1.77,640.15,MatWeb . Alibaba,2020-2
Película de Poliéster,Polimeros,2.70,1380.00,3.65,92.80,177.00,135.00,2.70,2.06,527.15,MatWeb. Alibaba,2020-2
Delrin 100CPE NC010,Polimeros,1.64,1410.00,2.90,71.00,90.00,45.00,120.00,3.00,433.00,MatWeb..CamPlastic,2020-2
Homopolimero de acetal no reforzado,Polimeros,1.50,1410.00,2.99,66.00,64.50,35.00,184.00,4.04,477.15,MatWeb. Alibaba,2020-2
Delrin 500CL NC010,Polimeros,1.90,1410.00,3.10,67.00,80.00,25.00,120.00,7.00,451.00,MatWeb.CamPlastic,2020-2
Stanyl® TW200F6,Polimeros,20.00,1410.00,10.00,250.00,300.00,3.50,241.00,1.60,568.15,Mathmatch. Costos,Argoty Avance 13
MOS2 (Reforzado),Polimeros,601.00,1410.00,78.00,2.60,5.00,28.00,58.00,34.00,443.2,Matweb. Precio ,Nikolai Fandiño
Copolimero de Acetal Kolon Kocetal,Polimeros,202.00,1410.00,85.00,34.00,65.00,35.00,80.00,3.50,440,Matweb. Precio ,Nikolai Fandiño
Delrin 111DP NC010,Polimeros,0.87,1420.00,3.20,72.00,95.00,40.00,122.00,5.00,451.00,MatWeb.CamPlastic.Plastic,2020-2
PET,Polimeros,0.41,1450.00,3.10,176.00,206.00,175.00,82.30,3.01,519.00,Matmach. Propiedades. Costo,2020-2
Polimero de cristal líquido (LCP),Polimeros,3.15,1450.00,13.30,146.00,151.00,2.02,65.60,0.78,530.15,Matweb . Propiedades. Precio ,Daisy Gutiérrez
CPVC,Polimeros,1.48,1470.00,2.40,35.00,50.30,12.00,116.00,0.93,376.00,MatWeb.TecPoli,2020-2
Polietersulfona PES,Polimeros,28.00,1490.00,7.46,109.00,114.00,6.15,298.00,3.38,635.15,MatWeb. Alibaba,2020-2
Poliftalamida (PPA),Polimeros,253.00,1500.00,13.50,162.00,166.00,3.68,298.00,3.89,594.15,MatWeb. Goodfellowusa,2020-2
Copolimero acetalico,Polimeros,170.00,1580.00,11.70,55.00,73.00,65.00,232.00,1.90,459.15,Matweb .Azom. Goodfellow,Laura Moreno
Poliarilamide. relleno de fibra de vidrio,Polimeros,100.00,1610.00,18.20,188.00,217.00,1.99,10.00,1.93,543.15,MatWeb. Goodfellowusa . Goodfellowusa ,2020-2
Sulfuro de polifenileno (PPS),Polimeros,2.50,1680.00,7.13,63.80,85.30,12.00,96.30,1.56,554.00,Matweb. Indiamart,2020-2
PPS,Polimeros,3.40,1755.00,9.85,75.00,150.00,55.00,96.00,0.52,555.00,MatWeb.upv,2020-2
Poliéster Termoendurecido SMC,Polimeros,7.50,1770.00,12.50,72.70,101.00,0.57,171.00,2.42,444.15,MatWeb. Alibaba,2020-2
PEI,Polimeros,1.95,1780.00,39.40,81.00,101.40,15.00,127.00,4.00,511.00,MatWeb,2020-2
Epoxy con fibra de vidrio,Polimeros,4.50,1790.00,21.40,58.10,319.00,1.57,86.20,2.06,349.50,Matweb. Alibaba,2020-2
Melamina laminada,Polimeros,1.51,1800.00,13.75,42.70,53.40,0.60,12.85,4.31,618.15,Matmatch. Propiedades. Precio,Daisy Gutiérrez
polietersulfona (PES),Polimeros,5.00,1849.00,36.60,178.00,325.00,2.10,72.00,1.20,873,Matweb. Precio ,Jonathan Acevedo
policarbonato / tereftalato de polibutileno (PBT). sin reforzar,Polimeros,0.27,1899.00,11.00,72.00,108.00,6.00,63.20,4.20,544,Matweb. Precio ,Jonathan Acevedo
VITON,Polimeros,4.00,1931.00,12.00,15.00,21.00,225.00,70.00,2.79,505.00,MatWeb.RGP.ElaPlas,2020-2
Etileno propileno fluorado,Polimeros,5.00,1990.00,0.42,50.00,24.50,349.00,56.30,0.14,534,Matweb,Pablo Galvis
Politetrafluoroetileno (PTFE),Polimeros,10.00,2070.00,0.56,20.50,34.80,299.00,101.00,5.39,596.15,MatWeb. Alibaba,2020-2
Perfluoroalcoxi (PFA),Polimeros,20.00,2120.00,0.62,24.10,27.60,2.00,633.00,0.90,559.15,MatWeb. Costos,NIxon David Moreno
Teflón,Polimeros,15.00,2170.00,0.48,20.70,34.80,300.00,6.20,1.56,600.15, Propiedades . Precio,Daisy Gutiérrez
BMC relleno de vidrio de poliéster termoestable,Polimeros,4.25,2201.00,25.00,129.00,224.00,1.00,42.00,0.80,561,Matweb. Precio ,Jonathan Acevedo
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
